"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:52:48,FALSE,NA,"1442351492724264962",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MommyAlesha_",13517,TRUE,FALSE,NA,NA
"RT @ProBit_Exchange: MNDCC trading kicks off September 29 🤝
https://t.co/TuBt8hY0rB  @MondoCoin 

#ecommerce #ProBitGlobal #listing #Crypto…",FALSE,0,NA,2021-09-27 04:52:47,FALSE,NA,"1442351492086697991",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","hoavokhuyet1412",15,TRUE,FALSE,NA,NA
"@ZooM_tweet .
Follow back ❤❤
.
@SaadanyMoussa 👈👈
.",FALSE,1,"ZooM_tweet",2021-09-27 04:52:44,FALSE,"1442338490155343881","1442351479600390144","1185652422024323072","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SaadanyMoussa",0,FALSE,FALSE,NA,NA
"Thirst Knowledge is back TOMORROW both in person at @ombrellos and on Zoom! 

Bookings highly recommended due to le… https://t.co/RCuQafXaRk",FALSE,0,NA,2021-09-27 04:52:44,TRUE,NA,"1442351477243080707",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Thirst4K",0,FALSE,FALSE,NA,NA
"IPO alert: Know detail analysis and recommendation on Aditya Birla Sunlife AMC Limited IPO

Join today at 5 PM

Reg… https://t.co/Q6WIGOOct8",FALSE,0,NA,2021-09-27 04:52:39,TRUE,NA,"1442351458129567746",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","valuestocksapp",0,FALSE,FALSE,NA,NA
"RT @RapperPandit: Click&amp;Zoom this Pic : 1000 Reasons to Boycott Manyvars overpriced collection. Sharing with you Three

1. First Note the s…",FALSE,0,NA,2021-09-27 04:52:33,FALSE,NA,"1442351430887612421",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ChakravatiAP",51,TRUE,FALSE,NA,NA
"RT @WaanjaiArchive: [ZOOM LINK GIVEAWAY]
☀ L’Oreal Elseve &amp; Lotus X Gulf 🌻

📌 W.Archive followers
📌 1 x Winner
📌 Worldwide
📌 RT, LIKE &amp; Rep…",FALSE,0,NA,2021-09-27 04:52:31,FALSE,NA,"1442351421328801795",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Broken_pikapika",170,TRUE,FALSE,NA,NA
"All stuck here must be missing #WorkFromHome dearly 

#FarmersProtest #BharathBandh #Gurgaon #Delhi #TrafficUpdate https://t.co/NhnKuMXgJ7",FALSE,0,NA,2021-09-27 04:52:24,FALSE,NA,"1442351393575108613",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","anilsatapathy",0,FALSE,FALSE,NA,NA
"@DavidOAtkins I don’t want to zoom ever ever ever again.",FALSE,0,"DavidOAtkins",2021-09-27 04:52:22,FALSE,"1442349518092075008","1442351385023066115","14873618","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","mango4242",0,FALSE,FALSE,NA,NA
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:52:16,FALSE,NA,"1442351361195069440",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SiBogex",13517,TRUE,FALSE,NA,NA
